description,start_time,end_time,transcript
Talking,3164,3182," you you you you you you you you you you you you you you you you you you you you you you you you you you you you you you you you you you you you you you you you you you you you you you you you you you you you you you you you you you you you you you you you you you you you you you you you you you you you you you you you you you you you you you you you you you you you you you you you you you you you you you you you you you you you you you you you you you you you you you you you you you you you you you you you you you you you you you you you you you you you you you you you you you you you you you you you you you you you you Thank you. I'll let you go. It seemed to be a little bit more impressive when I was seven or eight. Oh. I thought you were actually going to press down. Oh yeah. Okay, right. It's fine now. Keep going. Nothing to see here. Wait, did it press down? it. Sorry. I thought you pressed it. Okay, right."
Leisure Activities,3182,3207," you you you you you you you you you you you you you you you you you you you you you you you you you you you you you you you you you you you you you you you you you you you you you you you you you you you you you you you you you you you you you you you you you you you you you you you you you you you you you you you you you you you you you you you you you you you you you you you you you you you you you you you you you you you you you you you you you you you you you you you you you you you you you you you you you you you you you you you you you you you you you you you you you you you you you you you you you you you you you Thank you. I'll let you go. It seemed to be a little bit more impressive when I was seven or eight. Oh. I thought you were actually going to press down. Oh yeah. Okay, right. It's fine now. Keep going. Nothing to see here. Wait, did it press down? it. Sorry. I thought you pressed it. Okay, right."
Using Laptop,3207,3208," Fuck off! What's happening? Yes. Isn't there like a block? Yeah there is. Awesome. You know what I mean? Like this. I appreciate it. A lot. This is a lot. This is a lot. This is a lot. This is a lot. This is a lot. This is a lot. This is a lot. This is a lot. This is a lot. This is a lot. This is a lot. This is a lot. This is a lot. This is a lot. This is a lot. This is a lot. This is a lot. This is a lot. This is a lot. This it like this. How? A lot. This is to activate it. Just to make sure that you're in time. I love you with those video recordings. How do I put this thing? I thought this goes around Yeah! Is that the last one? Where? I'm gonna go to bed. I'm gonna go to bed. 2 cái cuối cùng Đó là cuối cùng Cái cuối cùng Cái cuối cùng Cái cuối cùng Cái cuối cùng Cái cuối cùng I mean I mean, I have a spare wifi thing I can do so... I mean, instead of sending it to you whenever people... We have a schedule for reading a few... No, we don't have a schedule for reading. This is more of a people figuring out what you want to do what. You just need a wifi to download the reading. You just need to put data on it. So you could also just have the data downloaded on another device and then have it downloaded. That would also be possible. Wait, wait, wait. So, right, right, right, right. Do that. It has to be at least 16 and at most 21. Just some Drogic Gutenberg. It's Blackjack. Yeah. It's just all up there. I mean, yes. Well, I mean, yes, of course, I will take another one. Oh, what do you mean? And now we are at Drogic Gutenberg. Now we are online... 18-2! 18-2 is not a draw. It's an online repository of... Is there a rule for like, if it's the same, that like the higher wins or something? No, I'm imagining. Like the higher wins? Like that you with the king would have... I have 18. 18 is a draw. It's a draw, okay. Just pretend to take another. 14. 15. I will take another. 19! Ah! Shit. No, take 10. Is that a... Wait, I can still take another. that Oh yeah you can take it on that, yeah okay You are so risk Are there two in the right hand? Yeah yeah yeah Alright I'll take it on that Here we go Yeah But yeah I'm not supposed to see all the people cause No but but it's this decision because we're only two people playing"
"The image shows a person holding a laptop. Therefore, the most appropriate classification is **Using Laptop**.",3208,3211," Fuck off! What's happening? Yes. Isn't there like a block? Yeah there is. Awesome. You know what I mean? Like this. I appreciate it. A lot. This is a lot. This is a lot. This is a lot. This is a lot. This is a lot. This is a lot. This is a lot. This is a lot. This is a lot. This is a lot. This is a lot. This is a lot. This is a lot. This is a lot. This is a lot. This is a lot. This is a lot. This is a lot. This is a lot. This it like this. How? A lot. This is to activate it. Just to make sure that you're in time. I love you with those video recordings. How do I put this thing? I thought this goes around Yeah! Is that the last one? Where? I'm gonna go to bed. I'm gonna go to bed. 2 cái cuối cùng Đó là cuối cùng Cái cuối cùng Cái cuối cùng Cái cuối cùng Cái cuối cùng Cái cuối cùng I mean I mean, I have a spare wifi thing I can do so... I mean, instead of sending it to you whenever people... We have a schedule for reading a few... No, we don't have a schedule for reading. This is more of a people figuring out what you want to do what. You just need a wifi to download the reading. You just need to put data on it. So you could also just have the data downloaded on another device and then have it downloaded. That would also be possible. Wait, wait, wait. So, right, right, right, right. Do that. It has to be at least 16 and at most 21. Just some Drogic Gutenberg. It's Blackjack. Yeah. It's just all up there. I mean, yes. Well, I mean, yes, of course, I will take another one. Oh, what do you mean? And now we are at Drogic Gutenberg. Now we are online... 18-2! 18-2 is not a draw. It's an online repository of... Is there a rule for like, if it's the same, that like the higher wins or something? No, I'm imagining. Like the higher wins? Like that you with the king would have... I have 18. 18 is a draw. It's a draw, okay. Just pretend to take another. 14. 15. I will take another. 19! Ah! Shit. No, take 10. Is that a... Wait, I can still take another. that Oh yeah you can take it on that, yeah okay You are so risk Are there two in the right hand? Yeah yeah yeah Alright I'll take it on that Here we go Yeah But yeah I'm not supposed to see all the people cause No but but it's this decision because we're only two people playing"
Using Laptop,3211,3212," Fuck off! What's happening? Yes. Isn't there like a block? Yeah there is. Awesome. You know what I mean? Like this. I appreciate it. A lot. This is a lot. This is a lot. This is a lot. This is a lot. This is a lot. This is a lot. This is a lot. This is a lot. This is a lot. This is a lot. This is a lot. This is a lot. This is a lot. This is a lot. This is a lot. This is a lot. This is a lot. This is a lot. This is a lot. This it like this. How? A lot. This is to activate it. Just to make sure that you're in time. I love you with those video recordings. How do I put this thing? I thought this goes around Yeah! Is that the last one? Where? I'm gonna go to bed. I'm gonna go to bed. 2 cái cuối cùng Đó là cuối cùng Cái cuối cùng Cái cuối cùng Cái cuối cùng Cái cuối cùng Cái cuối cùng I mean I mean, I have a spare wifi thing I can do so... I mean, instead of sending it to you whenever people... We have a schedule for reading a few... No, we don't have a schedule for reading. This is more of a people figuring out what you want to do what. You just need a wifi to download the reading. You just need to put data on it. So you could also just have the data downloaded on another device and then have it downloaded. That would also be possible. Wait, wait, wait. So, right, right, right, right. Do that. It has to be at least 16 and at most 21. Just some Drogic Gutenberg. It's Blackjack. Yeah. It's just all up there. I mean, yes. Well, I mean, yes, of course, I will take another one. Oh, what do you mean? And now we are at Drogic Gutenberg. Now we are online... 18-2! 18-2 is not a draw. It's an online repository of... Is there a rule for like, if it's the same, that like the higher wins or something? No, I'm imagining. Like the higher wins? Like that you with the king would have... I have 18. 18 is a draw. It's a draw, okay. Just pretend to take another. 14. 15. I will take another. 19! Ah! Shit. No, take 10. Is that a... Wait, I can still take another. that Oh yeah you can take it on that, yeah okay You are so risk Are there two in the right hand? Yeah yeah yeah Alright I'll take it on that Here we go Yeah But yeah I'm not supposed to see all the people cause No but but it's this decision because we're only two people playing"
Sitting,3212,477," Fuck off! What's happening? Yes. Isn't there like a block? Yeah there is. Awesome. You know what I mean? Like this. I appreciate it. A lot. This is a lot. This is a lot. This is a lot. This is a lot. This is a lot. This is a lot. This is a lot. This is a lot. This is a lot. This is a lot. This is a lot. This is a lot. This is a lot. This is a lot. This is a lot. This is a lot. This is a lot. This is a lot. This is a lot. This it like this. How? A lot. This is to activate it. Just to make sure that you're in time. I love you with those video recordings. How do I put this thing? I thought this goes around Yeah! Is that the last one? Where? I'm gonna go to bed. I'm gonna go to bed. 2 cái cuối cùng Đó là cuối cùng Cái cuối cùng Cái cuối cùng Cái cuối cùng Cái cuối cùng Cái cuối cùng I mean I mean, I have a spare wifi thing I can do so... I mean, instead of sending it to you whenever people... We have a schedule for reading a few... No, we don't have a schedule for reading. This is more of a people figuring out what you want to do what. You just need a wifi to download the reading. You just need to put data on it. So you could also just have the data downloaded on another device and then have it downloaded. That would also be possible. Wait, wait, wait. So, right, right, right, right. Do that. It has to be at least 16 and at most 21. Just some Drogic Gutenberg. It's Blackjack. Yeah. It's just all up there. I mean, yes. Well, I mean, yes, of course, I will take another one. Oh, what do you mean? And now we are at Drogic Gutenberg. Now we are online... 18-2! 18-2 is not a draw. It's an online repository of... Is there a rule for like, if it's the same, that like the higher wins or something? No, I'm imagining. Like the higher wins? Like that you with the king would have... I have 18. 18 is a draw. It's a draw, okay. Just pretend to take another. 14. 15. I will take another. 19! Ah! Shit. No, take 10. Is that a... Wait, I can still take another. that Oh yeah you can take it on that, yeah okay You are so risk Are there two in the right hand? Yeah yeah yeah Alright I'll take it on that Here we go Yeah But yeah I'm not supposed to see all the people cause No but but it's this decision because we're only two people playing"
Sitting,477,1849, Vi har en gang på København.
Reading,1849,1852,
Leisure Activities,1852,1858,
Leisure Activities,1858,3600," Nå er det en avorske Norske. Oh, come on. Thank you. Kanskje vi kan ta en kvart? Ja, det kan vi ta. Ja, så vi kan ta en kvart. Ja, det kan vi ta. Ja, det kan vi ta. Ja, det kan vi ta. Ja, det kan vi ta. Ja, det kan vi ta. Ja, det kan vi ta. Ja, det kan vi ta. Ja, det kan vi ta. Ja, det kan vi ta. Ja, det kan vi ta. Ja, it's all covered. And then, what's for?"
